,all_ratio,developer
10401,78%,Expansive Worlds
10402,100%,ASTRO PORT
10403,75%,playchocolate
10404,85%,Inaccurate Interactive
10405,100%,
10406,92%,Kayabros
10407,96%,Exordium Games
10408,83%,C.I.N.I.C. Games
10409,50%,RepkaTechStudio
10410,78%,Sacada
10411,32%,"KOEI TECMO GAMES CO., LTD."
10412,62%,JoongWon Games
10413,69%,Sparkypants Studios LLC
10414,79%,Panther Games
10415,100%,Milestone S.r.l.
10416,55%,GameTop.com
10417,31%,Snkl Studio
10418,75%,Daylight Studios
10419,79%,Giants Software
10420,58%,
10421,95%,BANDAI NAMCO Studios Inc.
10422,83%,Nafanya interactive
10423,78%,"The Chinese Room, Robert Briscoe"
10424,68%,Frank J Sudol
10425,81%,Zero Degrees Games
10426,43%,DIGIDICED
10427,86%,DazlogStudio
10428,48%,DR Studios
10429,72%,Cyanide Studios
10430,85%,Rebellion
10431,100%,
10432,74%,Saber Interactive
10433,86%,Rebellion
10434,65%,Rebellion
10435,50%,"Brimo Studio, Sacred Walrus"
10436,100%,
10437,70%,
10438,77%,"Sebastian Nigro, Panos Tzimas"
10439,67%,Hermes Interactive
10440,94%,Fumiko Game Studio
10441,59%,D247 Games
10442,47%,MekTek Studios
10443,71%,Almighty Games
10444,51%,"Mahhaon Horror, Sun Pixel"
10445,94%,Konstructors Entertainment
10446,94%,Chris_Antoni
10447,50%,
10448,66%,NLB project
10449,70%,WnMStudio
10450,65%,RP Studios
10451,91%,SCS Software
10452,100%,SCS Software
10453,39%,
10454,85%,Schrolab
10455,68%,Ran
10456,77%,Pixeljam
10457,47%,GoingForwardTeam
10458,57%,Bohemia Interactive
10459,89%,Brave Giant LTD
10460,30%,Culture Shock Games LLC
10461,57%,Jujubee S.A.
10462,65%,
10463,88%,Benjamin Rivers Inc.
10464,30%,Virtual Rage Studios LLC
10465,74%,HypeTrain Digital
10466,83%,HypeTrain Digital
10467,81%,
10468,69%,Olivier LeClair
10469,71%,Cult Software
10470,86%,Warlock Arts
10471,96%,
10472,78%,
10473,52%,
10474,82%,Deli Interactive LLC
10475,40%,Camagames
10476,100%,Dragon Slumber
10477,61%,Romantic Railroads
10478,51%,Kyy Games
10479,58%,
10480,79%,Eastshade Studios
10481,66%,
10482,44%,HexWar Games
10483,91%,Sombr Studio
10484,66%,PixelMouse
10485,96%,Ian Campbell
10486,71%,ION LANDS
10487,97%,Splashteam
10488,73%,Minor Key Games
10489,69%,"KOEI TECMO GAMES CO., LTD."
10490,88%,"KOEI TECMO GAMES CO., LTD."
10491,100%,BANDAI NAMCO Studios Inc.
10492,100%,BANDAI NAMCO Studios Inc.
10493,97%,BANDAI NAMCO Studios Inc.
10494,97%,NoBreadStudio
10495,94%,
10496,94%,ebi-hime
10497,90%,ebi-hime
10498,62%,"Hopoo Games, LLC"
10499,61%,Ivanovich Games
10500,94%,Lached Up Games
10501,91%,Atapki
10502,61%,"Visual Concepts, Yuke's Co., LTD"
10503,87%,
10504,66%,Deep Shadows
10505,18%,Mugle Studio
10506,93%,
10507,90%,BigTapir Games
10508,89%,Turbo Tape Games
10509,51%,Areo Gaming
10510,38%,singi
10511,88%,
10512,91%,ClickGames
10513,68%,UndeadScout
10514,85%,Pixel Trickery
10515,92%,
10516,53%,"Gothic Labs, The Lordz Games Studio"
10517,86%,ColloseusX
10518,88%,
10519,72%,U-Play Online
10520,85%,Elden Pixels
10521,69%,Arachnid Games
10522,85%,Arachnid Games
10523,92%,nukeygara
10524,73%,CyberConnect2 Co. Ltd.
10525,90%,HeR Interactive
10526,64%,Gear Worx Productions
10527,96%,SCS Software
10528,88%,SCS Software
10529,37%,Mirador Studio
10530,72%,Nuno Donato
10531,100%,Loju
10532,90%,Grimnir Media
10533,78%,Uruca Game Studio
10534,97%,Skywind Games
10535,50%,Alawar Five-BN
10536,70%,Game Cartel
10537,25%,Black Whale Studios
10538,94%,PolyKid
10539,15%,Karabas_Studio
10540,84%,On5
10541,7%,WhackAKey Games
10542,43%,TeamTop Games
10543,100%,Virtual Rail Creations
10544,100%,Dima Kiva
10545,65%,Ilya Gubin
10546,63%,Evgiz
10547,72%,"Andrew ""Versus"" Larionov"
10548,60%,Arctic Bird Studio
10549,82%,
10550,100%,Radical Phi
10551,98%,Radical Phi
10552,60%,Tero Lunkka
10553,100%,BANDAI NAMCO Studios Inc.
10554,100%,BANDAI NAMCO Studios Inc.
10555,93%,Midipixel
10556,98%,My Dog Zorro
10557,95%,Trainwreck Studios
10558,25%,Spectrum Games
10559,34%,
10560,47%,Interactive Gaming Studios
10561,91%,Windybeard
10562,69%,CyberLight Game Studio
10563,96%,PixelTrip Studios
10564,88%,"Expansive Worlds, Avalanche Studios"
10565,93%,Narrator
10566,100%,Blaze Epic
10567,100%,"DrinkingNails, LLC"
10568,100%,One Bit Studio
10569,91%,Quiet River
10570,46%,"Tyler Rogers, David Colson"
10571,56%,"Quicksilver Software, Inc."
10572,89%,"Nippon Ichi Software, Inc."
10573,27%,Nighthood Games
10574,100%,BrainGoodGames
10575,84%,Snowbird Games
10576,59%,Manic Mind Game Lab
10577,60%,Dragon's Games
10578,50%,
10579,82%,Joshua Missile
10580,81%,Romero Games Ltd.
10581,94%,Walter Machado
10582,53%,"KOEI TECMO GAMES CO., LTD."
10583,80%,"KOEI TECMO GAMES CO., LTD."
10584,100%,Little Cat Feet
10585,92%,Xuse
10586,23%,WhackAKey Games
10587,62%,Mortis Games
10588,92%,The Man Who Flew Away
10589,92%,craigz
10590,60%,Maple Flag
10591,95%,Razzart Visual
10592,90%,Paradox Development Studio
10593,95%,
10594,88%,Ethereal Darkness Interactive
10595,68%,Morgondag
10596,89%,Accidental Queens
10597,75%,Ratloop Asia
10598,71%,N-Fusion Interactive
10599,70%,Hyper Hippo Games
10600,78%,
10601,76%,Bit Byterz
10602,76%,EfimovMax
10603,81%,Mike Studios
10604,93%,BoyAndWitch Studio
10605,66%,RhinoGearz
10606,74%,
10607,61%,Milestone S.r.l.
10608,42%,Driven Arts
10609,68%,Druid Gameworks Studio LLC
10610,93%,Just1337 Studio
10611,85%,
10612,80%,
10613,23%,"Demik Technology, Shevchenko Technology"
10614,75%,Irvin Vaush
10615,92%,Eendhoorn Games
10616,96%,Justin Varghese
10617,90%,Synnergy Circle Games
10618,100%,Gobbo Games
10619,75%,Kazakov Oleg
10620,91%,Animu Game
10621,100%,Big Fish Studios
10622,60%,Mihai Morosanu
10623,88%,NIKITA ONLINE
10624,44%,Net Dragon
10625,88%,Boxelware
10626,82%,StarBlade
10627,59%,The Dragonloft
10628,71%,
10629,66%,Winter Wolves
10630,52%,Grimoire Games
10631,47%,SharF Co.
10632,54%,
10633,91%,"Coldwild Games, Vladimir Slav, Helen Nazarenko"
10634,56%,Warped Tales
10635,95%,SCS Software
10636,90%,SCS Software
10637,65%,Maximus.ez
10638,35%,Reborn Games
10639,93%,Willz
10640,68%,Hosted Games
10641,76%,10x10 Room
10642,66%,89AM Studio
10643,50%,Mobsoftware
10644,61%,Element Studios
10645,56%,Eversim
10646,38%,"Umix Studios, Cyanide Studio"
10647,96%,Digital Reality
10648,81%,"Digital Reality, Gyroscope Games"
10649,76%,Ashdar Games
10650,84%,Anatoliy Loginovskikh
10651,57%,Moonrise Interactive
10652,77%,One More Game
10653,31%,"Atomic Fabrik, Cristian Manolachi"
10654,66%,Alberto Santiago
10655,64%,"Motus, EHTechnology"
10656,58%,Argali Entertainment
10657,80%,Ran
10658,60%,Mihai Morosanu
10659,91%,Cobra Mobile
10660,69%,
10661,74%,DarkDes Labs
10662,58%,Rafael Senne
10663,70%,10tons Ltd
10664,72%,AO2Game
10665,60%,On the Level Game Studios
10666,83%,Jetdogs Studios
10667,81%,MoaCube
10668,50%,
10669,54%,Sly
10670,100%,Milestone S.r.l.
10671,86%,Joure Visser
10672,52%,Recreat4
10673,73%,Graphite Lab
10674,62%,
10675,90%,bitter sweet entertainment
10676,95%,Blazing Planet Studio
10677,86%,Ubisoft Entertainment
10678,62%,TinyMob Games
10679,56%,Twistplay
10680,90%,Fishing Planet LLC
10681,83%,Crazyant
10682,100%,
10683,38%,Peace
10684,94%,
10685,38%,Falcoware
10686,58%,Big Ant Studios
10687,61%,Heaven Brotherhood
10688,83%,Søren Trautner Madsen
10689,78%,9TH.ART
10690,27%,
10691,62%,
10692,68%,
10693,90%,Super Squared
10694,70%,Digitized Organism
10695,69%,
10696,91%,Frozen Flame
10697,42%,Trazzy Entertainment
10698,82%,Sigma Team Inc.
10699,99%,Sad Spaghetti Entertainment
10700,90%,The Paper Robot
10701,87%,Quiet River
10702,40%,
10703,87%,
10704,96%,RedCandleGames
10705,91%,"RedCandleGames, Weifan Chang"
10706,88%,
10707,95%,InvertMouse
10708,86%,dlan
10709,90%,Shoujo
10710,74%,Falcoware
10711,94%,Desert Fox
10712,81%,Renegade Sector Games
10713,68%,Flynn's Arcade
10714,59%,Illyriad Games
10715,70%,Bowlcut Studios
10716,100%,
10717,55%,Virtual Top
10718,85%,ScalemaiL
10719,31%,The_Kiddy
10720,35%,Acuze Interactives
10721,78%,
10722,70%,Brogames
10723,90%,King Crow Studios
10724,76%,
10725,53%,UnexEvo
10726,94%,Oddrok
10727,74%,Tree Men Games
10728,34%,Bartosz Bojarowski
10729,43%,Vyacheslav Shilikhin
10730,91%,SinksAdventure
10731,85%,Kyuppin
10732,88%,
10733,100%,Niko Kivilahti
10734,85%,Solid Core
10735,83%,Crynosaurs
10736,77%,
10737,82%,
10738,80%,MetamorphoGames
10739,85%,Falcoware
10740,71%,Windward_Birds
10741,63%,Blind Recluse
10742,78%,
10743,59%,Xatrix Entertainment
10744,96%,Mattis Folkestad
10745,85%,
10746,91%,
10747,60%,SAGENCY
10748,90%,Funghisoft
10749,70%,"Egor Magurin, Eugene Radaev"
10750,94%,Tomlab Games
10751,80%,Nylund Games
10752,41%,Manic Mind Game Lab
10753,78%,gearspecs
10754,16%,VGstudio
10755,25%,KNP
10756,89%,Keen Software House
10757,50%,Amaterasu Software
10758,86%,White Sparkle Games
10759,59%,morojenoe's empire
10760,71%,
10761,55%,Ubisoft Entertainment
10762,80%,DL Softworks
10763,89%,Eternal Night Studios
10764,60%,
10765,89%,
10766,92%,Blue Giraffe
10767,50%,
10768,72%,SolarLance
10769,93%,NukGames
10770,58%,BulatHard
10771,100%,Michaela Laws
10772,85%,David Cross
10773,29%,"Visual Wordplay, Godline"
10774,69%,CharlieH
10775,54%,HoCWar
10776,81%,Rayhouse Productions
10777,81%,
10778,54%,CrabWay
10779,86%,Salamandra88
10780,85%,
10781,86%,Magnolia Art
10782,55%,Mihai Morosanu
10783,73%,Kormishenkov Anton
10784,57%,Jose Pedro Díaz
10785,100%,"wins_84, gamebalance"
10786,76%,
10787,46%,"Mindware Co.,Ltd."
10788,63%,"Media Impact Co.,Ltd"
10789,60%,"Fabio Ferrara, Fabio Mosca, Giulia Airoldi"
10790,87%,
10791,56%,AbsQual Studio
10792,60%,Rendercode Games
10793,76%,WinterCell Studios
10794,60%,
10795,100%,Orange_Juice
10796,47%,Starodymov
10797,94%,
10798,92%,Crate Entertainment
10799,81%,btf GmbH
10800,93%,
10801,91%,
10802,100%,Anvate Games
10803,90%,
10804,37%,Oryzhon Studios
10805,75%,
10806,81%,Untouch
10807,81%,
10808,81%,QUByte Interactive
10809,65%,Zoink Games
10810,81%,Game Science
10811,93%,Creobit
10812,73%,Hell Squirrel Games
10813,96%,IPACS
10814,92%,
10815,100%,Kurenaibook
10816,72%,ExperaGameStudio
10817,78%,DoshMallow Games
10818,100%,Skot Leach
10819,75%,
10820,70%,
10821,78%,D.E.X. Team
10822,95%,
10823,92%,"Jetdogs Studios, Zoom Out Games"
10824,31%,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)"
10825,74%,
10826,90%,
10827,81%,Milestone S.r.l.
10828,45%,"QLOC, DIMPS"
10829,62%,
10830,94%,Kunos Simulazioni
10831,76%,Telltale Games
10832,91%,WayForward
10833,57%,Capcom
10834,77%,PixelMouse
10835,68%,NeoNight
10836,72%,Game Studio Abraham Stolk Inc.
10837,65%,
10838,100%,
10839,72%,ATTACK MOUNTAIN
10840,61%,ATTACK MOUNTAIN
10841,85%,Zoo Corporation
10842,94%,"Vaka Game Magazine, Makoto Sanada"
10843,70%,
10844,82%,Mana Potion Studios
10845,48%,TubbyKiD UG (haftungsbeschränkt)
10846,70%,
10847,56%,"Playdek, Inc."
10848,94%,Starwind Games
10849,100%,NCH Software
10850,90%,MokyuSoft
10851,55%,StormCube Games
10852,89%,Triple-Star Studio
10853,85%,tjern
10854,91%,"Just1337 Studio, Crohack"
10855,80%,Teawork Dev
10856,48%,Black Fox Pavilion
10857,52%,
10858,94%,
10859,34%,Nova D
10860,60%,Mihai Morosanu
10861,100%,Bruno Freitas
10862,90%,Orange_Juice
10863,92%,Light Arc Studio Ltd
10864,76%,Stately Snail
10865,70%,
10866,59%,Crazy Rocks Studios
10867,30%,BEta - indie
10868,49%,MysteryTag
10869,82%,
10870,85%,
10871,45%,
10872,56%,Stormtide
10873,92%,Choice of Games
10874,90%,Pixeljam
10875,86%,
10876,80%,Lunatic Pixels
10877,80%,Petroglyph
10878,37%,Vladimir Maslov
10879,76%,Lokator Studio
10880,80%,疯王子
10881,62%,CivilSavages
10882,63%,Aatlantis Code
10883,94%,Zachtronics
10884,86%,Up Multimedia
10885,79%,"System Era Softworks, Machinefabriek"
10886,97%,Frontwing
10887,70%,
10888,94%,Raxasoft Games
10889,100%,"peakvox, O-TWO inc."
10890,69%,
10891,72%,Dungeoneering Studios
10892,41%,PoRovoz Studios
10893,38%,Kiz Studios
10894,81%,Biodrone Studios
10895,95%,GameHouse
10896,88%,MoeNovel
10897,55%,
10898,27%,Kevin Nitschmann/Darius Bode
10899,40%,Aerosoft GmbH
10900,37%,Gamemag
10901,86%,
10902,85%,
10903,88%,
10904,45%,Paradox Development Studio
10905,86%,
10906,93%,Sokpop Collective
10907,63%,Yadon Studio
10908,90%,Sunward Games
10909,76%,goonswarm
10910,71%,SOFTSTAR ENTERTAINMENT INC.
10911,71%,
10912,64%,"Brimo Studio, Sacred Walrus"
10913,45%,Heisenberg Entertainment
10914,94%,Quiet River
10915,90%,We Are Bots
10916,63%,different cloth
10917,100%,
10918,87%,Pewter Games Studios
10919,87%,NukGames
10920,87%,GSC Game World
10921,33%,mesetts
10922,65%,PIXYUL
10923,91%,Bekho Team
10924,47%,Color Brush Studio
10925,86%,Mostly Tigerproof
10926,68%,StudioQi
10927,72%,Infogrames
10928,96%,Infogrames
10929,71%,Quiet River
10930,67%,
10931,39%,Hunted Cow Studios
10932,62%,"Quantum Phoenix Studio, Dennis Esie"
10933,69%,"Far East War Development Team, Relic"
10934,98%,Krome Studios
10935,42%,Tatyana Murzina
10936,78%,Pipeworks Studio
10937,76%,Badim
10938,81%,Incandescent Games
10939,63%,GoldenGod Games
10940,98%,Little Cat Feet
10941,91%,Peter Whalen
10942,66%,Kobra Studio
10943,96%,GameHouse
10944,75%,OrangeGames
10945,20%,
10946,72%,
10947,91%,studio wasp
10948,70%,"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)"
10949,76%,"CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)"
10950,100%,
10951,73%,Flynn's Arcade
10952,90%,
10953,91%,Lost Decade Games
10954,97%,08 Games
10955,83%,Choice of Games
10956,52%,
10957,79%,Billy Goat Entertainment Ltd
10958,82%,Contours
10959,60%,Skyhook Games
10960,62%,Toposim
10961,80%,Far Mills
10962,36%,
10963,82%,oneoreight
10964,91%,"Mario von Rickenbach, Etter Studio, Tale of Tales, Cardboard Computer, Pol Clarissou, Katie Rose Pipkin, Santa Ragione"
10965,20%,Abstractive Works
10966,90%,Marsbound
10967,35%,Diagrammet AB
10968,63%,
10969,69%,One Wheel Studio
10970,72%,VladCastillo
10971,87%,"Psyonix, Inc."
10972,69%,Other Ocean Interactive
10973,83%,Other Ocean Interactive
10974,80%,Other Ocean Interactive
10975,95%,"Spiff Tune, Nickervision Studios"
10976,45%,Giant Fox Studios
10977,88%,
10978,81%,Miria Studios
10979,89%,
10980,96%,
10981,98%,FantaBlade Network
10982,21%,Spectrum Games
10983,78%,DIGIDICED
10984,92%,Egor Magurin
10985,58%,Buka Game Studio
10986,72%,Buka Game Studio
10987,89%,Invi Games
10988,64%,BlackMark Studio
10989,91%,
10990,71%,
10991,47%,bumblebee
10992,93%,Square Enix Montréal
10993,79%,Léo-Games
10994,41%,Daniil Hasanov
10995,94%,Eugen Systems
10996,84%,Brave Giant LTD
10997,80%,"Mad Capacity, LREVG"
10998,65%,DevilishGames
10999,72%,Choice of Games
11000,92%,"Hut 90, Inc."
11001,82%,Interceptor Entertainment
11002,83%,Finish Line Games
11003,94%,"James Montgomery, Daniel Paez, Jeff Jackman, Lance Montgomery, Michael Nova"
11004,75%,KING Art
11005,68%,N-Fusion Interactive
11006,81%,Elf Games Works
11007,90%,
11008,48%,"Alexey Khazov, Cristian Ionescu, Lars van Dorenvanck, Brandon van Doorn, Joran Vergoessen, Admir Leka"
11009,85%,Belsimtek
11010,56%,Lord_Loej
11011,91%,Alice &amp; Smith
11012,55%,Tabletopia Inc.
11013,70%,Deep Shadows
11014,91%,Daniel Jonathan Bourke
11015,82%,John Wizard
11016,60%,Darius Bode
11017,88%,
11018,92%,
11019,82%,
11020,90%,
11021,89%,Anawiki Games
11022,84%,Mauro Vos
11023,76%,
11024,81%,Colossal Order Ltd.
11025,60%,AHA Entertainment
11026,49%,Ivory Tower in collaboration with Ubisoft Reflections
11027,73%,Atypical Games
11028,61%,MindArk PE AB
11029,81%,
11030,84%,"KAIKO, Vigil Games"
11031,68%,Just1337 Studio
11032,75%,Sean O'Connor
11033,30%,
11034,72%,
11035,96%,Aeon Dream Studios
11036,71%,Woolf
11037,79%,
11038,80%,Solecismic Software
11039,90%,Game Mechanics LLC
11040,58%,Neople
11041,36%,
11042,78%,ICE Entertainment
11043,83%,nobodyshot
11044,92%,GameHouse
11045,47%,Destiny.Games
11046,92%,Ede Tarsoly
11047,62%,RunServer
11048,69%,Pilgrim Adventures
11049,97%,Marmoset LLC
11050,76%,Fever Dream Gameworks
11051,84%,Q-Cumber Factory
11052,66%,Slavitica
11053,56%,Peak Angle Team
11054,91%,Kool2Play
11055,55%,Svarog Studios
11056,38%,HA Studio Ltd.
11057,78%,ImaginationOverflow
11058,100%,Dog Theory
11059,96%,Studio SiestA
11060,84%,BrickCream
11061,85%,
11062,70%,
11063,10%,
11064,84%,Xemory LLC
11065,88%,△○□× (Miwashiba)
11066,37%,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)"
11067,46%,
11068,87%,Nuberu Games
11069,36%,FutureVisionsGames
11070,77%,Just1337 Studio
11071,45%,Black Lime Studio
11072,81%,Corrosive Studios LLC
11073,97%,Onyx Lute
11074,54%,"Tall Story Studios, Prey Interactive"
11075,69%,CarVin Interactive
11076,72%,"Asmodee Digital, Frima Studio"
11077,91%,bycomb
11078,96%,Zachtronics
11079,63%,Choice of Games
11080,75%,Dovetail Games
11081,70%,Daybreak Game Company
11082,78%,Dharker Studio
11083,91%,Behaviour Digital Inc.
11084,96%,HelixFox Games
11085,83%,Playito.com
11086,15%,Evergreen
11087,62%,JoyBits Ltd.
11088,88%,FLEB
11089,53%,Ice Cold Games
11090,30%,Wolverine Studios
11091,54%,
11092,100%,MAGES. Inc.
11093,93%,Anarchy Enterprises
11094,37%,BiscuitPlay
11095,75%,SEMISOFT
11096,100%,Playsaurus
11097,88%,Kurisu no Patto
11098,95%,Moonworks
11099,53%,DiP Online
11100,47%,Eko Software
11101,75%,Minor Key Games
11102,41%,Ultima Games
11103,70%,Ankama Studio
11104,66%,Totem Games
11105,67%,PIXOWL INC.
11106,81%,Big Loop Studios
11107,88%,Screeps
11108,82%,Venugopalan Sreedharan
11109,57%,"Traveller's Tales, TT Games, Feral Interactive (Mac)"
11110,47%,Ghost Town Games Ltd.
11111,86%,TRU FUN Entertainment
11112,54%,
11113,97%,Uzumeya
11114,93%,SEEP
11115,84%,KorteGames
11116,61%,"Glitchless, LLC"
11117,75%,The Good Mood Creators
11118,58%,Cleverweek
11119,39%,Royal Deal Games
11120,17%,
11121,64%,Semaphore
11122,38%,CrimsonRabbit
11123,80%,Owl Green Sea
11124,90%,.M.Y.W.
11125,66%,Apeirogon Games
11126,81%,illuCalab
11127,58%,Eren Aydın
11128,80%,Acid Cat
11129,50%,
11130,90%,Ranger 79 Productions
11131,80%,
11132,85%,Anton Riot and Co
11133,33%,Creobit
11134,78%,"Stardock Entertainment, Oxide Games"
11135,100%,
11136,93%,Meteorise
11137,86%,World-Loom
11138,41%,"booblyc, parafeks"
11139,45%,SkyReacher Entertainment
11140,73%,
11141,93%,"galanti, Vaka Game Magazine"
11142,96%,REFMAP
11143,78%,Homiebear Studio
11144,78%,Naarassusi Game
11145,62%,The Artistocrats
11146,85%,Obsidian Entertainment
11147,85%,Daedalic Entertainment
11148,46%,Dovetail Games
11149,85%,
11150,86%,Valera Entertainment
11151,34%,Hipix Studio
11152,89%,L. Stotch
11153,69%,Wargaming Group Limited
11154,89%,"Duang! Games, LLC"
11155,64%,
11156,64%,FYRE Games
11157,94%,Mana Potion Studios
11158,89%,Playsport Games
11159,69%,
11160,92%,John Wizard
11161,89%,
11162,90%,"Pathea Games, Note by Note Studios"
11163,90%,Kinmoku
11164,86%,
11165,95%,BottleCube inc.
11166,53%,
11167,76%,IObit
11168,43%,IObit
11169,51%,UUUU Interactive
11170,76%,Urban Games
11171,70%,Eugen Systems
11172,69%,Pathea Games
11173,25%,Brimo Studio
11174,69%,Manic Mind Game Lab
11175,86%,Fire Face Corporation
11176,68%,
11177,66%,CyberLink
11178,88%,
11179,81%,Lukas Rustemeyer
11180,93%,Yunus Ayyildiz
11181,38%,Excalibur
11182,18%,Odin Game Studio
11183,64%,"Girls Make Games, The Team Who Must Not Be Named, LearnDistrict, Inc."
11184,90%,dadako
11185,89%,Konstructors Entertainment
11186,84%,Silent Dreams
11187,64%,Improx Games
11188,68%,SPVD
11189,82%,Rasul Mono
11190,80%,Iron Tower Studio
11191,68%,
11192,87%,KHB-Soft
11193,88%,
11194,81%,The Quadsphere
11195,88%,Nihon Falcom
11196,92%,SCS Software
11197,57%,Matt Hooper
11198,68%,
11199,69%,FlipSwitch Games
11200,90%,
11201,85%,Aivaras Ivoškus
11202,86%,Bolvërk Games
11203,68%,"Move Games Co., Ltd."
11204,46%,Artplant
11205,66%,Milestone S.r.l.
11206,87%,
11207,70%,Squeaky Wheel
11208,78%,
11209,60%,Mihai Morosanu
11210,54%,Sapphire Dragon Productions
11211,70%,Modesty
11212,69%,Forceight
11213,48%,React Games
11214,56%,Aterdux Entertainment
11215,90%,D-Pad Studio
11216,68%,Anatoliy Loginovskikh
11217,81%,"Traveller's Tales, TT Games, Feral Interactive (Mac)"
11218,93%,"Nate Sanders, John Kolbek"
11219,100%,
11220,75%,
11221,76%,
11222,85%,Liz-Arts
11223,68%,BYU Animation -  Class of 2016
11224,84%,Bloober Team SA
11225,60%,Sebastien Bini
11226,28%,Primitive Studio
11227,8%,"SGTTB_Studios, Phanom Games"
11228,94%,Circletempo
11229,96%,
11230,64%,
11231,86%,Sayan
11232,63%,Choice of Games
11233,88%,Hosted Games
11234,46%,"Apocoplay LLC, Ludeme Games, Coreedge Inc"
11235,73%,New Hell Studios
11236,89%,WARP
11237,78%,PanGuoJun
11238,89%,Fossil Games
11239,73%,
11240,76%,Capturing Reality
11241,74%,"Cygames, Inc."
11242,65%,imaginite Ltd
11243,87%,
11244,66%,"Dragonfly GF Co., LTD"
11245,93%,YETU GAME
11246,37%,purpleElephant
11247,97%,SP-time
11248,64%,TotallyNotReptillian
11249,63%,ColloseusX
11250,97%,DXF Games
11251,81%,"QLOC, DIMPS"
11252,77%,"QLOC, DIMPS"
11253,50%,"QLOC, DIMPS"
11254,90%,Eko Software
11255,80%,Eko Software
11256,93%,Eko Software
11257,95%,Eko Software
11258,82%,"Ubisoft Paris, Ubisoft Pune"
11259,72%,Antagonist
11260,94%,Frontwing
11261,78%,Robert Gammon
11262,80%,Halycon Media
11263,88%,DebonosuWorks Inc.
11264,79%,Shenandoah Studio
11265,43%,
11266,96%,Armstrong Powerhouse
11267,57%,Umbu Games
11268,65%,Rodrigo Banzato
11269,73%,Might and Delight
11270,96%,Might and Delight
11271,89%,Might and Delight
11272,62%,Steve Jarman
11273,31%,Cascadia Games
11274,80%,DiezelPower
11275,64%,NewWestGames
11276,44%,"Gaslamp Games, Inc."
11277,58%,TakeFlight Interactive
11278,42%,Vlad K.
11279,47%,Mysteria Studio
11280,88%,
11281,58%,N.R. Burnette
11282,65%,Toster12D3
11283,60%,GameMill Entertainment
11284,60%,
11285,80%,"Nippon Ichi Software, Inc."
11286,82%,"Nippon Ichi Software, Inc."
11287,61%,Western Civilization Software
11288,91%,Vile Monarch
11289,30%,Amaterasu Software
11290,81%,Team Cat 'n Mice
11291,83%,Kamina Dimension
11292,60%,"WEBZENONNET Co., Ltd."
11293,60%,Drakhar Studio
11294,93%,Imaginary Monsters
11295,8%,ARB Studios
11296,63%,ArkHouse
11297,75%,Mirko Seithe
11298,78%,SUPERCORE Games
11299,95%,Playsaurus
11300,51%,ZovGame
